"id","name","code","slug","state_id","country_id"
"res_city_1","Thành phố Vĩnh Yên, tỉnh Vĩnh Phúc","VN-70_vinh-yen","vinh-yen","VN-70","VN"
"res_city_2","Thành phố Phúc Yên, tỉnh Vĩnh Phúc","VN-70_phuc-yen","phuc-yen","VN-70","VN"
"res_city_3","Thành phố Ninh Bình,tỉnh Ninh Bình","VN-18_ninh-binh","ninh-binh","VN-18","VN"
"res_city_4","Thành phố Tam Điệp, tỉnh Ninh Bình","VN-18_tam-diep","tam-diep","VN-18","VN"
"res_city_5","Thành phố Cà Mau, tỉnh Cà Mau","VN-59_ca-mau","ca-mau","VN-59","VN"
"res_city_6","Thành phố Vinh, tỉnh Nghệ An","VN-22_vinh","vinh","VN-22","VN"
"res_city_7","Thành phố Vĩnh Long, tỉnh Vĩnh Long","VN-49_vinh-long","vinh-long","VN-49","VN"
"res_city_8","Thành Phố Đồng Hới, tỉnh Quảng Bình","VN-24_dong-hoi","dong-hoi","VN-24","VN"
"res_city_9","Thành phố Cao Lãnh, tỉnh Đồng Tháp","VN-45_cao-lanh","cao-lanh","VN-45","VN"
"res_city_10","Thành phố Sa Đéc, tỉnh Đồng Tháp","VN-45_sa-dec","sa-dec","VN-45","VN"
"res_city_11","Thành phố Hồng Ngự, tỉnh Đồng Tháp","VN-45_hong-ngu","hong-ngu","VN-45","VN"
"res_city_12","Thành phố Lai Châu, tỉnh Lai Châu","VN-01_lai-chau","lai-chau","VN-01","VN"
"res_city_13","Thành phố Hưng Yê, tỉnh Hưng Yênn","VN-66_hung-yen","hung-yen","VN-66","VN"
"res_city_14","Thành phố Lạng Sơn, tỉnh Lạng Sơn","VN-09_lang-son","lang-son","VN-09","VN"
"res_city_15","Thành phố Biên Hòa, tỉnh Đồng Nai","VN-39_bien-hoa","bien-hoa","VN-39","VN"
"res_city_16","Thành phố Long Khánh, tỉnh Đồng Nai","VN-39_long-khanh","long-khanh","VN-39","VN"
"res_city_17","Thành phố Mỹ Tho, tỉnh Tiền Giang","VN-46_my-tho","my-tho","VN-46","VN"
"res_city_18","Thành phố Tuy Hoà, tỉnh Phú Yên","VN-32_tuy-hoa","tuy-hoa","VN-32","VN"
"res_city_19","Thành phố Yên Bái, tỉnh Yên Bái","VN-06_yen-bai","yen-bai","VN-06","VN"
"res_city_20","Thành phố Thủ Dầu Một, tỉnh Bình Dương","VN-57_thu-dau-mot","thu-dau-mot","VN-57","VN"
"res_city_21","Thành phố Dĩ An, tỉnh Bình Dương ","VN-57_di-an","di-an","VN-57","VN"
"res_city_22","Thành phố Thuận An, tỉnh Bình Dương","VN-57_thuan-an","thuan-an","VN-57","VN"
"res_city_23","Thành phố Tam Kỳ, tỉnh Quảng Nam","VN-27_tam-ky","tam-ky","VN-27","VN"
"res_city_24","Thành phố Hội An, tỉnh Quảng Nam","VN-27_hoi-an","hoi-an","VN-27","VN"
"res_city_25","Thành phố Điện Biên Phủ, tỉnh Điện Biên","VN-71_dien-bien-phu","dien-bien-phu","VN-71","VN"
